title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
ケアプランあいざわ居宅介護支援事業所,さいたま市浦和区木崎1丁目7番26号,139.659546,35.885323,large,#FF0000,#FFFFFF,2
ケアプランオレンジ,さいたま市浦和区木崎4丁目1番15号,139.658173,35.888317,large,#FF0000,#FFFFFF,2
ふくしのまち与野,さいたま市浦和区木崎4丁目17番1号 ﾊﾞﾛﾝｽﾞ202,139.660767,35.88681,large,#FF0000,#FFFFFF,2
つばさ　ケアセンター,さいたま市浦和区大東2-24-16,139.665314,35.880661,large,#FF0000,#FFFFFF,2
あけぼしケアプラン,さいたま市浦和区大東3-10-7,139.664429,35.881973,large,#FF0000,#FFFFFF,2
ケアプラン　ひまわり,さいたま市浦和区瀬ｹ崎2丁目16番9号 笹屋ﾏﾝｼｮﾝ202号,139.662201,35.878155,large,#FF0000,#FFFFFF,2
有限会社 ファーストケアまちや,さいたま市浦和区本太3-1-14,139.654495,35.863419,large,#FF0000,#FFFFFF,2
癒しのケアプランセンター浦和,さいたま市浦和区本太3丁目24番6号,139.655045,35.867298,large,#FF0000,#FFFFFF,2
本太ケアセンターそよ風,さいたま市浦和区本太1丁目14番6号,139.664474,35.863098,large,#FF0000,#FFFFFF,2
東電さわやかケアうらわ・居宅介護支援,さいたま市浦和区前地3-14-12 第2ｽﾐﾀﾞﾋﾞﾙ3階,139.665604,35.860584,large,#FF0000,#FFFFFF,2
ことぶきケアプランセンター,さいたま市浦和区東岸町3番11号 2階,139.661407,35.856037,large,#FF0000,#FFFFFF,2
居宅介護支援事業所　ソラスト浦和,さいたま市浦和区東仲町15-8 ｸﾞﾘｰﾝｽｸｴｱ401号,139.657776,35.860981,large,#FF0000,#FFFFFF,2
オリーブケア,さいたま市浦和区東仲町5-3 ｲｰｽﾄｻｲﾄﾞﾊﾟﾚｽT&T406,139.656113,35.861675,large,#FF0000,#FFFFFF,2
浦和医師会指定居宅介護支援センター,さいたま市浦和区常盤6-4-18,139.644196,35.861992,large,#FF0000,#FFFFFF,2
居宅介護ささえあい,さいたま市浦和区仲町3-2-1-101,139.649963,35.860439,large,#FF0000,#FFFFFF,2
居宅介護支援事業所ケアビリティ,さいたま市浦和区仲町2丁目9番6号 加来ﾋﾞﾙ406,139.65033,35.861118,large,#FF0000,#FFFFFF,2
居宅介護支援事業所ほほえみ,さいたま市浦和区高砂2-1-1明治安田生命浦和ﾋﾞﾙ4階,139.654831,35.857132,large,#FF0000,#FFFFFF,2
アズミメディケアセンター浦和,さいたま市浦和区岸町7-1-4 荏原実業浦和ﾋﾞﾙ,139.65416,35.855671,large,#FF0000,#FFFFFF,2
あいケアサポート浦和,さいたま市浦和区神明2丁目12番15号 ｵｰｸ南浦和103,139.659119,35.848133,large,#FF0000,#FFFFFF,2
福祉ネットワークさくら,さいたま市浦和区上木崎6-9-3,139.651886,35.883377,large,#FF0000,#FFFFFF,2
ニチイケアセンター上木崎,さいたま市浦和区上木崎3-1-10,139.643692,35.887299,large,#FF0000,#FFFFFF,2
コープみらい浦和介護センター,さいたま市浦和区上木崎7-6-7 ｺｰﾌﾟ上木崎店内,139.650711,35.888351,large,#FF0000,#FFFFFF,2
サポートセンター　麦,さいたま市浦和区上木崎7-13-26 ｺｰﾎﾟ道美木102,139.651611,35.888992,large,#FF0000,#FFFFFF,2
ふわり総合福祉サービス,さいたま市浦和区領家5丁目11番17号 ｱｸﾃｨ北浦和101,139.652924,35.880341,large,#FF0000,#FFFFFF,2
ほっとミルク北浦和　居宅介護支援,さいたま市浦和区領家3丁目19番7号,139.657318,35.877708,large,#FF0000,#FFFFFF,2
独立行政法人地域医療機能推進機構埼玉メディカルセンター附属居宅介護支援センター,さいたま市浦和区北浦和5-2-7,139.64299,35.873795,large,#FF0000,#FFFFFF,2
医療生協ケアステーションうらしん,さいたま市浦和区北浦和1-8-12 河野ﾋﾞﾙ4階,139.647949,35.873184,large,#FF0000,#FFFFFF,2
アールスタッフ浦和ケアサービス,さいたま市浦和区北浦和1-6-15,139.647339,35.87431,large,#FF0000,#FFFFFF,2
居宅支援センター　新都心,さいたま市浦和区針ｹ谷2-14-3,139.643906,35.882622,large,#FF0000,#FFFFFF,2
